bookID,title,author,publisher,description,keywords,rack
1,Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling/Mary GrandPrÃ©,Scholastic Inc.,"Harry Potter and the Half-Blood Prince follows Harry's sixth year at Hogwarts as he learns more about Voldemort's past and the dark magic that powers him. With the help of Professor Dumbledore, Harry uncovers crucial information about Voldemort's Horcruxes, dark objects that hold pieces of his soul and grant him immortality. The story intensifies as Voldemort's power grows, setting the stage for the final showdown.","Harry Potter, Half-Blood Prince, Voldemort, Horcruxes, Dumbledore, Hogwarts, Dark magic, Voldemort's past, Potions textbook, Wizarding world, Magic, Conflict, Fantasy",rack1
2,Harry Potter and the Order of the Phoenix (Harry Potter  #5),J.K. Rowling/Mary GrandPrÃ©,Scholastic Inc.,"In this fifth book of the Harry Potter series, Harry returns to Hogwarts for his fifth year amid increasing danger from Voldemort, who has returned to power. The Ministry of Magic refuses to believe this, leading to tension and conflict. Harry and his friends form ""Dumbledore's Army"" to combat dark forces, while facing oppressive control from the new teacher, Dolores Umbridge. The story builds towards a dramatic confrontation at the Department of Mysteries, revealing crucial secrets and leading to significant losses.","Harry Potter, Order of the Phoenix, Voldemort, Hogwarts, Ministry of Magic, Dolores Umbridge, Dumbledore's Army, dark arts, prophecy, magical battles, Sirius Black, Luna Lovegood",rack2
4,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,Gramercy Books,"""The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story"" is a comprehensive collection of Douglas Adams' iconic science fiction series, ""The Hitchhiker's Guide to the Galaxy"". This omnibus edition includes all five novels in the series: ""The Hitchhiker's Guide to the Galaxy"", ""The Restaurant at the End of the Universe"", ""Life, the Universe and Everything"", ""So Long, and Thanks for All the Fish"", and ""Mostly Harmless"". Additionally, it features a bonus story, ""Young Zaphod Plays It Safe"". The series follows the misadventures of an unwitting human, Arthur Dent, and his alien friend, Ford Prefect, as they travel through space and time, encountering bizarre creatures, civilizations, and cosmic phenomena.","Science fiction, comedy, adventure, space travel, aliens, humor, satire, Douglas Adams, Hitchhiker's Guide to the Galaxy, Arthur Dent, Ford Prefect, Zaphod Beeblebrox, Marvin the Paranoid Android, intergalactic travel, time travel, parody, British literature.",rack3
5,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams,Crown,"""The Hitchhiker's Guide to the Galaxy"" is a comedic science fiction novel by Douglas Adams, following the misadventures of Arthur Dent as he travels through space after Earth's destruction, accompanied by his alien friend Ford Prefect.","Science fiction, comedy, adventure, space travel, aliens, humor, satire, Douglas Adams, Hitchhiker's Guide to the Galaxy, Arthur Dent, Ford Prefect, intergalactic travel, time travel, parody, British literature.",rack4
6,A Short History of Nearly Everything,Bill Bryson,Broadway Books,"""A Short History of Nearly Everything"" by Bill Bryson is a comprehensive and engaging exploration of the sciences, covering topics from the Big Bang to the rise of civilization, and explaining complex concepts in an accessible and humorous way.","Science, history, non-fiction, Bill Bryson, cosmology, biology, chemistry, physics, geology, astronomy, evolution, natural history, popular science, humor, educational.",rack1
7,I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,Bill Bryson,Broadway Books,"""I'm a Stranger Here Myself"" is a humorous and insightful memoir by Bill Bryson, where he recounts his experiences returning to the United States after living abroad for 20 years, observing the changes in American culture and society with a fresh and outsider's perspective.","Memoir, travel, humor, Bill Bryson, American culture, expat, returning home, social commentary, cultural observation, fish out of water, travel writing, autobiography.",rack2
8,Neither Here nor There: Travels in Europe,Bill Bryson,William Morrow Paperbacks,"""Neither Here nor There"" is a travelogue by Bill Bryson, where he recounts his journey through Europe, revisiting the continent he first explored as a young backpacker, and sharing humorous and insightful observations on the people, places, and cultures he encounters.","Travel, Europe, humor, Bill Bryson, backpacking, adventure, cultural observation, social commentary, memoir, travel writing, European history, tourism, exploration.",rack3
9,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,Ballantine Books,"This 4-book boxed set by J.R.R. Tolkien includes ""The Hobbit"" and ""The Lord of the Rings"" trilogy, a high fantasy epic that follows the quest of a hobbit, Bilbo Baggins, and later his nephew Frodo, to destroy the One Ring and save Middle-earth from the dark lord Sauron."," Fantasy, high fantasy, epic, J.R.R. Tolkien, The Hobbit, The Lord of the Rings, Middle-earth, adventure, quest, magic, mythology, classic literature, boxed set, trilogy.",rack4
10,Hatchet (Brian's Saga  #1),Gary Paulsen,Atheneum Books for Young Readers: Richard Jackson Books,"""Hatchet"" by Gary Paulsen is a survival novel that tells the story of 13-year-old Brian Robeson, who is stranded in the Canadian wilderness after a plane crash, and must use his wits and a hatchet to survive until rescue.","Survival, wilderness, adventure, young adult, Gary Paulsen, Brian's Saga, plane crash, self-reliance, outdoor skills, coming-of-age, fiction, novel.",rack4
11,The Known World,Edward P. Jones,Amistad,"""The Known World"" by Edward P. Jones is a Pulitzer Prize-winning novel that explores the complexities of slavery and relationships between slaves and slave owners on a plantation in antebellum Virginia, delving into themes of power, morality, and humanity."," Historical fiction, slavery, antebellum, Virginia, plantation, Pulitzer Prize, novel, Edward P. Jones, literary fiction, racism, morality, humanity, power dynamics.",rack1
12,The Broken Wings,Kahlil Gibran/Ø¬Ø¨Ø±Ø§Ù† Ø®Ù„ÙŠÙ„ Ø¬Ø¨Ø±Ø§Ù†/Anthony Rizcallah Ferris,Citadel,"""The Broken Wings"" by Kahlil Gibran is a poetic and philosophical novel that tells the story of a doomed love affair between a young man and a woman from a higher social class in turn-of-the-century Beirut, exploring themes of love, freedom, and social conventions."," Romance, poetry, philosophy, Kahlil Gibran, Middle Eastern literature, Beirut, social class, love story, freedom, social conventions, classic literature, novel.",rack2
13,The Phantom Tollbooth: A Children's Play in Two Acts,Susan Nanus/Norton Juster,Samuel French  Inc.,"""The Phantom Tollbooth: A Children's Play in Two Acts"" by Susan Nanus and based on the novel by Norton Juster is a theatrical adaptation of the beloved children's classic, following the adventures of Milo and his watchdog Tock as they travel through a magical tollbooth and learn about the importance of words, numbers, and critical thinking.","Children's play, theatrical adaptation, Norton Juster, fantasy, adventure, magic, words, numbers, critical thinking, education, imagination, youth theater.",rack2
14,Libra,Don DeLillo,Penguin,"""Libra"" by Don DeLillo is a novel that explores the life of Lee Harvey Oswald, the assassin of President John F. Kennedy, and the events leading up to the assassination, delving into themes of politics, history, and the American psyche."," Historical fiction, Lee Harvey Oswald, JFK assassination, Don DeLillo, American history, politics, conspiracy, biography, psychological fiction, literary fiction.",rack3
15,The Choice: A Fable of Free Trade and Protectionism,Russell Roberts/Russ Roberts,Pearson,"""The Choice: A Fable of Free Trade and Protectionism"" by Russell Roberts is an allegorical novel that uses a fictional story to explain the concepts of free trade and protectionism, making complex economic ideas accessible to a general audience."," Economic fiction, free trade, protectionism, international trade, economics, globalization, trade policy, allegory, educational, business, politics.",rack4
16,The Five Dysfunctions of a Team: A Leadership Fable,Patrick Lencioni,Jossey-Bass,"""The Five Dysfunctions of a Team: A Leadership Fable"" by Patrick Lencioni is a business novel that tells the story of a struggling Silicon Valley technology firm and its journey to overcome five common team dysfunctions, providing practical advice for leaders and teams.","Leadership, team management, organizational behavior, business fiction, management, communication, trust, conflict, accountability, results-oriented, teamwork.",rack1
17,School Days (Spenser  #33),Robert B. Parker/Joe Mantegna,Random House Audio Publishing Group,"""School Days"" by Robert B. Parker is the 33rd novel in the Spenser series, where private investigator Spenser is hired to investigate a murder at a prestigious private school, delving into a complex web of secrets and lies.","Mystery, thriller, private investigator, crime fiction, Spenser series, Robert B. Parker, murder, private school, investigation, suspense, detective.",rack2
18,Forever Peace (The Forever War  #2),Joe Haldeman,Ace Books,"""Forever Peace"" by Joe Haldeman is a science fiction novel and the second book in The Forever War series, exploring the consequences of a world where virtual reality has become indistinguishable from reality, and humanity is on the brink of a new era of war.","Science fiction, The Forever War series, Joe Haldeman, virtual reality, war, military, futuristic, dystopian, space opera, alternate reality, humanity.",rack3
19,Childhood Shadows: The Hidden Story of the Black Dahlia Murder,Mary  Pacios,Authorhouse,"""Childhood Shadows: The Hidden Story of the Black Dahlia Murder"" by John Gregory Dunne is a true crime book that re-examines the infamous 1947 Black Dahlia murder case, exploring the childhoods and motivations of the killer and victim, and shedding new light on the crime.","True crime, Black Dahlia, murder, mystery, crime investigation, biography, psychology, 1940s, Los Angeles, Elizabeth Short, crime history.",rack4
20,Doom Patrol  Vol. 5: Magic Bus,Grant Morrison/Richard Case/Ken Steacy/Stan Woch/Philip Bond/Mark McKenna/Scott Hanna,Vertigo,"""Doom Patrol Vol. 5: Magic Bus"" is a graphic novel that continues the surreal and supernatural adventures of the Doom Patrol team, as they travel through time and space in a magical bus, facing bizarre threats and exploring the boundaries of reality.","Graphic novel, Doom Patrol, superhero, fantasy, science fiction, magic, time travel, adventure, surrealism, supernatural, DC Comics.",rack1
21,Superfolks,Robert  Mayer/Grant Morrison,St. Martin's Griffin,"""Superfolks"" by Robert Mayer is a satirical novel that deconstructs the superhero genre, following a retired superhero who has lost his powers and struggles to adjust to ordinary life, poking fun at the conventions of comic book heroes and the American Dream.","Satire, superhero, parody, comic book, deconstruction, American Dream, humor, fiction, metafiction, retro, 1970s.",rack2
